"Parcel ID","Year Built","Building Area","CITYAREA","TOWNSHIPCODE","CITYTWNAREA","Occupancy","Lot Area (sf)","Sale Date","Sale Price","Recording","Assessed Value","Address","Multi Parcel Sale","Vacant","Appr_Total"
"0210313009","1927","4500","PERRY","12","PERRY","Store - Retail Small","4500","12/2/2014 12:00:00 AM","74900","2014-16737","169040","1121 2ND ST, PERRY","","N","169040"
"0210313010","1929","3600","PERRY","12","PERRY","Store - Retail Small","3600","9/30/2014 12:00:00 AM","95000","2014-13277","137710","1117 2ND ST, PERRY","","N","137710"
"0210313010","1929","3600","PERRY","12","PERRY","Store - Retail Small","3600","11/22/2021 12:00:00 AM","0","2021-34296","137710","1117 2ND ST, PERRY","","N","137710"
"0210313010","1929","3600","PERRY","12","PERRY","Store - Retail Small","3600","4/28/2006 12:00:00 AM","115000","2006-6684","137710","1117 2ND ST, PERRY","","N","137710"
"0210313010","1929","3600","PERRY","12","PERRY","Store - Retail Small","3600","6/13/2012 12:00:00 AM","0","2012-10474","137710","1117 2ND ST, PERRY","","N","137710"
"0210313010","1929","3600","PERRY","12","PERRY","Store - Retail Small","3600","4/24/2006 12:00:00 AM","53500","2006-6153","137710","1117 2ND ST, PERRY","","N","137710"
"0210313013","1910","2352","PERRY","12","PERRY","Office - General","5040","6/13/2008 12:00:00 AM","750000","2008-9302","687070","1102 WILLIS AVE, PERRY","","Y","687070"
"0210313014","1900","1760","PERRY","12","PERRY","Office - General w/Apart. Uppers","3500","9/18/2013 12:00:00 AM","36560","2013-18996","104570","1104 WILLIS AVE, PERRY","Y","N","104570"
"0210313015","1900","1760","PERRY","12","PERRY","Office - General w/Apart. Uppers","3500","9/18/2013 12:00:00 AM","36560","2013-18996","97970","1106 WILLIS AVE, PERRY","Y","N","97970"
"0211401012","1950","4265","PERRY","12","PERRY","Nursing Home","996217.2","9/9/2013 12:00:00 AM","0","2013-17887","17404720","3000 WILLIS AVE, PERRY","","N","17404720"
"0211401012","1950","4265","PERRY","12","PERRY","Nursing Home","996217.2","11/12/2020 12:00:00 AM","10025144","2020-32386","17404720","3000 WILLIS AVE, PERRY","Y","N","17404720"
"1613477001","2014","15105","WEST DES MOINES","17","WEST DES MOINES","Hotel / Motel - High Rise","110206.8","1/15/2014 12:00:00 AM","1408250","2014-857","11208660","6220 STAGECOACH DR, WEST DES MOINES","","N","11208660"
"1613477002","2014","12808","WEST DES MOINES","17","WEST DES MOINES","Hotel / Motel - High Rise","100623.6","1/15/2014 12:00:00 AM","1408250","2014-858","9712980","6160 MILLS CIVIC PKWY, WEST DES MOINES","","N","9712980"
"1613477003","2011","8352","WEST DES MOINES","17","WEST DES MOINES","Auto Repair","54450","6/4/2018 12:00:00 AM","2607418","2018-10254","1930580","6110 MILLS CIVIC PKWY, WEST DES MOINES","","N","1930580"
"1613477003","2011","8352","WEST DES MOINES","17","WEST DES MOINES","Auto Repair","54450","9/13/2011 12:00:00 AM","931766","2011-13370","1930580","6110 MILLS CIVIC PKWY, WEST DES MOINES","","N","1930580"
"1613477004","2013","16018","WEST DES MOINES","17","WEST DES MOINES","Store - Grocery","60548","1/9/2013 12:00:00 AM","1045000","2013-6164","2864630","6050 MILLS CIVIC PKWY, WEST DES MOINES","","N","2864630"
"1236226019","1994","5286","CLIVE","3","CLIVE","Church","227818.8","","","","2665960","2180 NW 142ND ST, CLIVE","","N","3505920"
"0210202001","2012","5933","PERRY","12","PERRY","Church","58806","7/29/2010 12:00:00 AM","36000","2010-10202","0","2008 8TH ST, PERRY","","Y","1060470"
"0214278003","2018","30000","PERRY","12","PERRY","Metal Warehouse - Rigid Steel Frame","226512","2/1/2021 12:00:00 AM","0","2021-2962","1959330","510 RESEARCH DR, PERRY","","N","1959330"
"0214278003","2018","30000","PERRY","12","PERRY","Metal Warehouse - Rigid Steel Frame","226512","8/7/2020 12:00:00 AM","825000","2020-20826","1959330","510 RESEARCH DR, PERRY","","N","1959330"
"0214278003","2018","30000","PERRY","12","PERRY","Metal Warehouse - Rigid Steel Frame","226512","8/3/2021 12:00:00 AM","816330","2021-33825","1959330","510 RESEARCH DR, PERRY","","N","1959330"
"1612327001","2023","17082","WEST DES MOINES","17","WEST DES MOINES","Shopping Center - Neighborhood","211000","","","","4282000","6920 EP TRUE PKWY, WEST DES MOINES","","N","8825690"
"1228480003","2020","2245","WAUKEE","16","WAUKEE","Clubhouse","532420","6/29/2020 12:00:00 AM","0","2020-19511","26808520","135 NE VENTURE DR, WAUKEE","","N","26808520"
